Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Claims on central government (annual growth as % of broad money) [FM.AST.CGOV.ZG.M3],"Commercial bank branches (per 100,000 adults) [FB.CBK.BRCH.P5]",Deposit interest rate (%) [FR.INR.DPST],"Stocks traded, total value (% of GDP) [CM.MKT.TRAD.GD.ZS]","Stocks traded, total value (current US$) [CM.MKT.TRAD.CD]",Wholesale price index (2010 = 100) [FP.WPI.TOTL],"Risk premium on lending (lending rate minus treasury bill rate, %) [FR.INR.RISK]",Real interest rate (%) [FR.INR.RINR],Net domestic credit (current LCU) [FM.AST.DOMS.CN],Net foreign assets (current LCU) [FM.AST.NFRG.CN]
2017,YR2017,Canada,CAN,38.7078876,..,20.75,0.1,77.6193571,1.28015E+12,..,2.183333333,0.131626934,..,..
2017,YR2017,China,CHN,22.83070681,2.74443458,8.75,1.5,139.9077403,1.72233E+13,..,..,0.112553973,1.78028E+14,2.52639E+13
2017,YR2017,Germany,DEU,32.68454647,..,12.95,..,42.22873909,1.5586E+12,..,..,..,4.19623E+12,1.64485E+12
2017,YR2017,India,IND,24.00142608,0.736436101,14.49,..,45.43918145,1.20481E+12,127.1671931,..,5.327608862,1.23215E+14,..
2017,YR2017,Indonesia,IDN,50.03933382,0.05478871,16.75,6.518333333,9.1090373,92513090235,91.50334141,..,6.501563996,5.72E+15,1.54E+15
2017,YR2017,Malaysia,MYS,58.63488054,1.186872476,10.23,2.924518667,43.06343133,1.37419E+11,..,..,0.79892604,1.89862E+12,3.33101E+11
2017,YR2017,Qatar,QAT,0,8.055569234,9.12,2.906176311,11.37820031,18330180817,..,..,-2.867711715,8.9786E+11,-75242024628
2017,YR2017,Poland,POL,30.85339168,1.310338015,29.31,..,12.96160005,68001894912,..,..,..,1.4609E+12,2.17696E+11
2017,YR2017,United Kingdom,GBR,13.07816311,-0.354715406,..,..,..,..,..,..,..,3.41331E+12,4.04609E+11
2017,YR2017,United States,USA,33.86692641,0.64595934,31.21,..,204.2675665,3.97859E+13,..,3.165833333,2.156099051,2.08001E+13,-97043960880
2017,YR2017,United Arab Emirates,ARE,4.467755562,0.680318739,11.27,..,11.31051457,44169460000,..,..,..,1.41599E+12,3.30459E+11
2018,YR2018,Afghanistan,AFG,1.852781994,-7.988514185,1.96,..,..,..,..,..,..,-74582578901,7.37861E+11
2018,YR2018,Australia,AUS,17.42131456,1.42225946,28.22,1.979166667,54.19345068,7.74027E+11,..,..,3.370036263,3.26642E+12,-3.596E+11
2018,YR2018,Canada,CAN,38.70376294,..,20.13,..,79.61841537,1.37365E+12,..,..,..,..,..
2018,YR2018,China,CHN,23.03091218,2.774013666,8.81,1.5,94.06786084,1.30706E+13,..,..,0.821501872,1.96545E+14,2.5507E+13
2018,YR2018,Germany,DEU,32.68361097,..,11.17,..,40.66355155,1.61615E+12,..,..,..,4.26242E+12,1.73108E+12
2018,YR2018,India,IND,24.09102681,1.645118884,14.46,..,47.93729009,1.29571E+12,132.5923988,..,5.36166639,1.36985E+14,..
2018,YR2018,Indonesia,IDN,49.71681778,-0.192304261,16.14,6.129166667,10.0407973,1.04652E+11,96.49200797,..,6.471249839,6.35E+15,1.44E+15
2018,YR2018,Malaysia,MYS,58.48224015,1.579108127,10.24,3.143443722,37.71993855,1.35335E+11,..,..,4.277048074,2.07641E+12,3.0614E+11
2018,YR2018,Qatar,QAT,0,-5.36971956,7.19,3.451939492,10.35267111,18980064807,..,..,-6.612818867,9.28134E+11,-90960226461
2018,YR2018,Poland,POL,30.89460104,0.519266156,29.73,..,9.298579879,54748164734,..,..,..,1.5536E+12,2.77764E+11
2018,YR2018,United Kingdom,GBR,13.11536395,-0.641432642,..,..,..,..,..,..,..,3.47261E+12,3.96481E+11
2018,YR2018,United States,USA,33.86692641,-1.101700458,30.88,..,160.8491379,3.30272E+13,..,2.965,2.441415026,2.11553E+13,-88646531520
2018,YR2018,United Arab Emirates,ARE,4.467755562,-5.425662878,10.74,..,5.954781364,25429860000,..,..,..,1.38847E+12,4.20225E+11
